Name,Rate,active_price,address,metro
Хостел Анохин,9.1/10,870,"Москва, ул. Академика Анохина, д. 13",Юго-западная
Хостел Милан на Дубининской,8.9/10,1 260,"Москва, ул. Дубининская, д. 11с2, п. 6",Павелецкая
X1 Апарт-Отель на Войковской,9.3/10,4 270,"Москва, ул. Зои и Александра Космодемьянских, д. 34с6",Красный Балтиец МЦД-2
Бутик-Отель Арбат 6,9.3/10,10 000,"Москва, ул. Арбат, д. 6, стр. 2",Арбатская
Мини-отель Ладомир Болотниковская,7.9/10,3 000,"Москва, ул. Болотниковская, д. 36, корп. 3",Нахимовский Проспект
Отель Д'Отель,9.1/10,5 577,"Москва, ул. Ярославская, д. 8, корпус 8",ВДНХ
Отель Каприз,8.7/10,3 500,"Москва, ул. Краснодонская, д. 2а",Волжская
Гостиница Садовническая,9.3/10,6 710,"Москва, ул. Садовническая, д. 20, стр. 1",Новокузнецкая
Мини-отель Уют на Цветном Бульваре,8.7/10,2 500,"Москва, Цветной б-р, д. 21с6",Цветной бульвар
Апарт-отель Knokey Иерусалимская,7.9/10,4 100,"Москва, ул. Иерусалимская, д. 3",Пролетарская
Отель Оскар,8.7/10,3 468,"Москва, Холодильный пер., д. 3к1",Тульская
Хостел Yum Yum на Невского,9.3/10,2 299,"Москва, ул. А. Невского, д. 27",Белорусская
Хостел Drop Inn,9.3/10,1 500,"Москва, ул. Каланчевская, д. 20, стр. 1",Площадь трёх вокзалов МЦД-4
Мини-отель Трефен Арбат,8.5/10,4 800,"Москва, пер. Плотников, д. 3",Смоленская
Мини-отель Loft Hotel H11,9.1/10,3 670,"Москва, Хохловский пер., д. 11, стр., 1",Китай-город
Гостиница Come Inn,9.4/10,4 500,"Москва, ул. Большая Татарская, д. 38, стр. 1",Новокузнецкая
Гостиница Ордынка,9.6/10,3 200,"Москва, ул. Большая Ордынка, д. 59/2",Добрынинская
от5 600руб.,8.7/10,5 600,"Москва, пр. Волгоградский, д. 42, корп. 16",Текстильщики МЦД-2
Отель На Южной,8.5/10,3 540,"Москва, Варшавское ш., д. 132 с. 2",Южная
Отель Hotel Elux,8.3/10,3 500,"Москва, пр. Волгоградский, д. 146",Кузьминки
от4 700руб.,9.4/10,4 700,"Москва, пер. Малый Златоустинский, д. 2",Китай-город
Хостел Гостиный двор на Полянке,8.1/10,1 800,"Москва, ул. Малая Якиманка,д. 24/8",Полянка
Хостел Трэвел Инн на Новослободской,7.8/10,500,"Москва, ул. Образцова, д. 14",Марьина Роща
Апартаменты Искра Парк,10/10,6 500,"Москва, Ленинградский пр-т, д. 35с2",Петровский парк
Апартаменты Norke Шереметьевская,10/10,"4 387,50","Москва, ул. Шереметьевская, д. 85с2",Марьина Роща МЦД-2
Отель Москва ХИЛТОН Мандарин Инн Отель,8.1/10,3 680,"Москва, ул. Ольховская, д. 23, стр. 1",Красносельская
Отель Минима Динамо,8.9/10,3 850,"Москва, ул. Верхняя Масловка, д. 27, стр. 1",Петровский парк
Отель Циркус,8.9/10,6 200,"Москва, Цветной бульвар, д. 24/1",Московский Цветной бульвар
Хостел Портал,7.8/10,854,"Москва, ул. Большая Пионерская, д. 13/6а, стр. 1",Павелецкая
Гостиница Автор Братиславская,9.1/10,1 400,"Москва, ул. Братиславская, д. 12",Братиславская
Апартаменты Арт,9.1/10,7 150,"Москва, б-р Братьев Весниных, д. 2",ЗИЛ
Отель Везендорф на Проходчиков,8.3/10,4 850,"Москва, ул. Проходчиков, д. 16/1",
Отель Crystal на Таганке,8.3/10,"5 583,60","Москва, ул. Александра Солженицына, д. 31 стр. 1",Марксистская
Jazz Hotel,9.4/10,3 900,"Москва, Старокаширское ш., д. 2, корп. 4",Варшавская
Хостел Travel Inn на Добрынинской,7.9/10,540,"Москва, ул. Люсиновская, д. 39, стр. 5",Серпуховская
Отель Бега,9.3/10,6 700,"Москва, ул. Беговая аллея, д. 11, 7 км трассы М10",Динамо
Апартаменты MaxRealty24 Москва Волоколамское шоссе д 71/22к3,8.7/10,3 274,"Москва, ш. Волоколамское, д. 71/22к3",Спартак
Отель Веллион Бауманский,9.3/10,4 370,"Москва, Волховский пер., д. 23/3, стр. 2",Бауманская
Мини-отель L&G,9.1/10,5 000,"Москва, ул. Столетова, д. 7, к. 1",Раменки
Гостиница Рослеспром,8.1/10,3 400,"Москва, Варшавское ш., д. 145, корп. 8, 1 км трассы М2",Аннино
Апартаменты MaxRealty24 Москва Волоколамское шоссе 24к1,9.3/10,3 927,"Москва, Волоколамское ш., д. 24к1",Стрешнево
Like Hostel & Hotel Moscow,8.9/10,"1 039,50","Москва, ул. Верхняя Красносельская, д. 8к3",Красносельская
Апартаменты Квартира Свободна - Большой Гнездниковский 10,9.1/10,4 625,"Москва, пер. Большой Гнездниковский, д. 10",Тверская
Хостел Southwest,8.1/10,750,"Москва, ул. Академика Опарина, д. 4к1, этаж 1",Университет дружбы народов
Апартаменты Пенаты,8.9/10,5 360,"Москва, ул. Люблинская, д. 76к2",Перерва МЦД-2
Гостиница Винтерфелл Москва-Сити,9.1/10,2 390,"Москва, Мукомольный пр-д, д. 4а, стр. 1",Шелепиха
Апартаменты Гости Любят,8.9/10,3 480,"Москва, п. Внуковское, ул. Анны Ахматовой, д. 11к1",Рассказовка
Апартаменты Уютные апартаменты на Дмитровском шоссе 81,9.1/10,3 254,"Москва, Дмитровское ш., д. 81",Селигерская
Апартаменты LuxKV - Нижегородская 4,9.8/10,3 375,"Москва, ул. Нижегородская, д. 4к1",Римская
Отель Якиманка 38,9.3/10,3 500,"Москва, ул. Большая Якиманка, д. 38A",Октябрьская
Мини-отель Шоколад,9.4/10,3 290,"Москва, ул. Ладожская, д. 8",Бауманская
Апарт-отель Knokey Электрический переулок,9.6/10,4 350,"Москва, Электрический пер., д. 8с5",Белорусская МЦД-4
Мини-отель Фаб,9.1/10,3 894,"Москва, ул. Шарикоподшипниковская, д. 12",Дубровка
Апартаменты КватрираСвободна - Комсомольский 29,9.8/10,"4 556,70","Москва, Комсомольский пр-т, д. 29",Фрунзенская
Отель Люмьер,9.1/10,7 440,"Москва, ул. Мясницкая, д. 16",Лубянка
Капсульный хостел 5 Небо,8.9/10,"1 268,80","Москва, ул. Маросейка, д. 7/8, стр. 1",Китай-город
Сити отель на Ленинградском,8.9/10,3 486,"Москва, Ленинградский пр-т, д. 47",Аэропорт
Хостел Travel Inn,8.1/10,400,"Москва, ул. Энергетическая, д. 12, корп. 1",Лефортово
Отель ЭЛИТ НЕКРАСОВКА,8.5/10,3 500,"Москва, ул. Рождественская, д. 15",Некрасовка
от4 000руб.,8.5/10,4 000,"Москва, Алтуфьевское ш., д. 2, 1 корп., 6 этаж",Владыкино
Уютные апартаменты на Дмитровском шоссе 107а,7.2/10,3 254,"Москва, Дмитровское ш., д. 107Ак5",Яхромская
Hotel Club,9.1/10,4 636,"Москва, ул. Красноказарменная, д. 3/5, корп. 1а",Лефортово
Гостиница Q-block,9.3/10,1 791,"Москва, Большой Тишинский пер., д. 8, стр. 1",Белорусская МЦД-4
Отель Квадро,9.6/10,1 265,"Москва, ул. Атарбекова, д. 4",Преображенская Площадь
Апарт-отель Knokey Спартак,9.4/10,4 400,"Москва, Волоколамское ш., д. 71/22к3",Спартак
Хостел Фьюжн,9.1/10,750,"Москва, ул. Дубининская, д. 67, корп. 1",Тульская
Апарт-отель Sky Garden,9.3/10,"3 850,00","Москва, ул. Ботаническая, д. 33Вс1",Петровско-Разумовская
Отель Библиотека,8.1/10,2 497,"Москва, ул. Воронцовская, д. 2/10, стр. 1",Марксистская
Мини-отель Уют на улице Южнобутовской,9.4/10,3 500,"Москва, ул. Южнобутовская, д. 60",Улица Горчакова
Отель Отдых-5,7.8/10,2 400,"Москва, ул. Краснодарская, д. 15/17",Люблино
Хостел Шаман на Курской,9.3/10,700,"Москва, Токмаков пер., д. 16с2, этаж 5",Курская МЦД-2
Уютные апартаменты возле м. Кунцевская,9.3/10,3 942,"Москва, ул. Ивана Франко, д. 6",Кунцевская МЦД-1
Гостиница Салют,8.9/10,6 200,"Москва, Ленинский пр-т, д. 158",Тропарево
Мини-отель Покровский,9.3/10,3 250,"Москва, ул. Свободы, д. 1, корп. 1",Тушинская МЦД-2
Хостел Крыша,8.5/10,675,"Москва, Овчинниковская наб., д. 6, стр.1",Новокузнецкая
Апартаменты Квартира Свободна - Николаева 4,10/10,4 500,"Москва, ул. Николаева, д. 4",Краснопресненская
Общежитие гостиничного типа Hotelhot Красносельская,6.6/10,300,"Москва, ул. Ольховская, д. 47, стр. 2",Красносельская
Апартаменты ApartLux Маяковская,9.1/10,6 000,"Москва, ул. 1-я Тверская-Ямская, д. 13с1",Маяковская
Хостел Норд,9.3/10,1 380,"Москва, 3-я ул. Ямского Поля, д. 24",Белорусская
Апартаменты MaxRealty24 Волоколамское шоссе 88к5с5,8.5/10,3 399,"Москва, ш. Волоколамское, д. 88к5с5",Тушинская МЦД-2
Апартаменты MaxRealty24 Москва Волоколамское шоссе 71к1,9.3/10,3 762,"Москва, ш. Волоколамское, д. 71к1",Спартак
Апарт-отель Knokey ЗИЛ,8.7/10,4 100,"Москва, ул. Автозаводская, д. 23, стр. 120",ЗИЛ
Отель Эль,9.1/10,1 500,"Москва, ул. 800-летия Москвы, д. 11К4",Бескудниково МЦД-1
Гостиница Часы Лескова,8.1/10,3 800,"Москва, ул. Лескова, д. 22",Бибирево
Хостел Лофт Никитская,9.6/10,1 220,"Москва, Хлыновский тупик, д. 2",Арбатская
Мини-отель Донской,8.5/10,3 800,"Москва, Бульвар Дмитрия Донского, д. 17а",Старокачаловская
Гостиница Моми Профсоюзная,9.8/10,4 960,"Москва, ул. Профсоюзная, д. 17к2",Профсоюзная
Хостел ONE Кузнецкий Мост,8.7/10,950,"Москва, ул. Кузнецкий Мост, д. 19, стр. 1, пом. 6/3",Кузнецкий Мост
Отель Gipnoz na Aviamotornoy,9.6/10,"7 823,40","Москва, ш. Энтузиастов, д. 11а, стр. 3",Авиамоторная
Медовая,9.4/10,5 000,"Москва, ул. Мишина, д. 26, помещ. 9",Петровский парк
Гостиница Сова на Братеевской,8.5/10,3 100,"Москва, ул. Братеевская, д. 10, корп. 4",Алма-Атинская
Гостиница МетаМосква,9.4/10,"5 174,40","Москва, ул. Яузская, д. 5",Чкаловская
Отель Ка Роял,9.3/10,4 500,"Ленинский г. о., Мисайлово, ул. Луговая, д. 20",
Хостел Астра на Арбате,8.5/10,800,"Москва, Столовый пер., д. 11, стр. 2",Арбатская
Гостиница Mamaison All-Suites Spa Hotel Pokrovka,8.7/10,11 500,"Москва, ул. Покровка, д. 40 стр. 2",Курская
Мини-отель Дом ветеранов кино,8.7/10,4 600,"Москва, ул. Нежинская, д. 5",Матвеевское МЦД-4
Отель АВИТА Красные Ворота,9.3/10,4 088,"Москва, ул. Садовая-Спасская, д. 17/2",Красные Ворота
Хостел Пастернак,8.9/10,950,"Москва, Староваганьковский пер., д. 19, с. 3",Боровицкая
Мини-отель Knokey Кунцевская,9.4/10,4 400,"Москва, ул. Ивана Франко, д. 6",Кунцевская МЦД-1
Апарт-отель Лофт&Отель Матросский,9.4/10,4 900,"Москва, пер. Большой Матросский, д. 1",Электрозаводская
Отель Тукан,8.1/10,4 450,"Москва, ул. Вековая, д. 20ас3",Римская
Апарт-отель LOFT SPA,6.8/10,9 383,"Москва, ул. Автозаводская, д. 23к7",ЗИЛ
Мини-отель Арчи на Тульской,9.1/10,3 600,"Москва, Варшавское ш., д. 13",Тульская
Апартаменты BAFY HOME на ленинском проспекте,8.3/10,3 899,"Москва, пр-кт Ленинский, д. 85",Университет
Гостиница Борис Годунов,8.9/10,7 380,"Москва, Нижний Кисельный пер., д. 4",Трубная
Отель Gipnoz Lefortovo,9.3/10,"5 270,40","Москва, ул. Энергетическая, д. 3",Лефортово
Отель Авион Внуково,8.9/10,5 775,"Внуково, ул. Привольная, д. 1",
Гостиница Magic Сircus,9.4/10,4 125,"Москва, Цветной б-р, д. 25, стр. 1",Цветной бульвар
Гостиница Винтерфелл на Чистых прудах,9.1/10,2 490,"Москва, ул. Мясницкая, д. 32, стр. 2",Чистые Пруды
Гостиница Винтерфелл Курский вокзал,8.7/10,2 090,"Москва, ул. Казакова, д. 8, стр. 1",Курская МЦД-2
Апартаменты Мама Ро на Чистых Прудах,8.9/10,14 400,"Москва, Гусятников пер., д. 4, с. 3",Чистые Пруды
Апарт-отель Knokey Тушино,9.6/10,3 300,"Москва, Волоколамское ш., д. 71/22к1",Спартак
Гостиница Халва,7.8/10,2 800,"Москва, ул. Амурская, д. 11, стр. 2",Щелковская
Мини-отель Дюжина,9.6/10,5 440,"Москва, ул. Трифоновская, д. 45",Марьина Роща
Апартаменты MaxRealty24 Коштоянца 41,10/10,4 296,"Москва, ул. Коштоянца, д. 41",Проспект Вернадского
Мини-отель Набат Палас,9.1/10,4 495,"Москва, ул. Братиславская, д. 6",Братиславская
Отель Mia Milano,9.4/10,6 600,"Москва, Кутузовский пр-т, д. 30",Кутузовская
Отель Арс,8.5/10,2 490,"Москва, ул. Новая Басманная, д. 10с/1, под.6. эт.5",Красные Ворота
Апартаменты Квартира Свободна - Большая Полянка,9.1/10,4 313,"Москва, ул. Большая Полянка, д. 30",Полянка
Мини-отель Trefen Белорусская,8.3/10,4 800,"Москва, Электрический пер., д. 12",Белорусская МЦД-4
Отель Минима Водный,8.7/10,3 730,"Москва, Головинское ш., д. 8",Водный Стадион
Отель Mila Guest House,8.9/10,3 800,"Москва, ул. Октябрьская, д. 26с1",Марьина Роща
Мини-отель Отдых 3,7.4/10,3 300,"Москва, ул. Совхозная, д.16, этаж 1",Люблино
Гостиница Флоренция,8.1/10,4 300,"Москва, ул. Ясеневая, д. 41А",Зябликово
Гостиница Винтерфелл на Старом Арбате,9.1/10,2 590,"Москва, пер. Большой Власьевский, д. 14 стр. 2",Кропоткинская
Хостел Travel Inn Серпуховская,8.5/10,545,"Москва, Большая Серпуховская, 31 к6",Серпуховская
Хостел Фортуна Инн,8.1/10,505,"Москва, Октябрьский пер., д. 12",Достоевская
от5 000руб.,8.5/10,5 000,"Москва, 4-й Верхний Михайловский пр-д, д. 6",Тульская
Мини-отель Шокотель Юго-Запад,8.5/10,4 500,"Москва, ул. Покрышкина, д. 8",Юго-западная
Апартаменты MaxRealty24 Волоколамское шоссе 71/22к2,9.1/10,3 539,"Москва, Волоколамское ш., д. 71/22к2",Спартак
Апартаменты Axis.Moscow Arbat,9.6/10,5 970,"Москва, ул. Арбат, д. 11",Арбатская
Мини-отель Пушкарёв 16,9.4/10,3 000,"Москва, Пушкарев пер., д. 16",Трубная
Хостел Cinema,7.9/10,569,"Москва, ул. Новая Басманная, д. 18/5",Красные Ворота
Отель Арена 33,8.9/10,3 500,"Москва, Ленинградский пр-т, д. 33А",Динамо
Апартаменты Квартира Свободна - Озерковская набережная 2/1,10/10,"4 219,20","Москва, Озерковская наб., д. 2/1",Новокузнецкая
Апартаменты Уютные апартаменты на Новодмитровской,7.4/10,3 119,"Москва, ул. Новодмитровская, д. 2к6",Дмитровская
Апартаменты На Нагатинской улице,10/10,4 072,"Москва, ул. Нагатинская, д. 26",Коломенская
Отель Апельсин на Юго-Западной,9.3/10,4 000,"Москва, пр. Вернадского, д. 105, корп. 2",Юго-западная
Апартаменты ApartLux ул. Тверская 17( 5),10/10,8 000,"Москва, пер. Большой Гнездниковский, д. 10",Тверская
Xenia City Hotel Seligerskaya,9.3/10,5 500,"Москва, ул. Весенняя, д. 14",Грачевская МЦД-3
Гостиница Бонжур Бутово,8.5/10,3 960,"Москва, ул. Изюмская, д. 22",Улица Скобелевская
Stylish Rock-n-Roll apartment with Kremlin view,10/10,9 500,"Москва, ул. Новый Арбат, д. 10",Арбатская
от4 800руб.,8.9/10,4 800,"Москва, ул. Народная, д. 14, стр. 1",Таганская
Апарт-отель Палисад,8.5/10,7 000,"Москва, ул. Кулибина, д. 2к11",Сколково МЦД-1
Апартаменты Second house,10/10,7 400,"Москва, бул. Кронштадтский, д. 6к1",Водный Стадион
Апарт-отель Анис Style,9.1/10,5 060,"Москва ул. 3-я  Хорошевская , д. 23а",Зорге
Мини-отель Ladomir Perovo,6.8/10,5 100,"Москва, ул. Перовская, д. 66, к. 4",Кусково МЦД-4
Гостиница Минима Кузьминки,9.1/10,3 650,"Москва, пр. Волгоградский, д. 113, корп. 5",Кузьминки
Отель Gipnoz na Dmitrovke,8.5/10,"3 504,60","Москва, ул. Руставели, д. 1/2",Дмитровская
Апартаменты ApartLux Свиблово,4.4/10,3 700,"Москва, ул. Амундсена, д. 5",Свиблово
Апартаменты Уютная студия на Войковской,10/10,3 929,"Москва, 4-й Войковский пр., д. 5",Войковская
Апартаменты С видом на Остров Мечты,10/10,7 875,"Москва, пр-кт Андропова, д. 10",Технопарк
Спортивно-гостиничный комплекс Луч,8.9/10,5 200,"Москва, 1-я Владимирская ул., д. 10 Д, стр. 3",Шоссе Энтузиастов
Отель Norke Prime Курская,9.3/10,5 500,"Москва, Яковоапостольский пер., д. 9с3",Курская
Хостел Лайфхакер,9.3/10,1 200,"Москва, Варшавское ш., д. 16, корп. 1, 1 этаж, пом. 6-7",Верхние Котлы
Отель Barin Residence Grand,9.3/10,12 437,"Москва, пер. Милютинский, д. 2",Лубянка
Апартаменты ЖК Парк Легенд,7.6/10,3 348,"Москва, ул. Автозаводская, д. 23с120",ЗИЛ
РОС ОТЕЛЬ Измайлово,8.3/10,3 150,"Москва, ул. Верхняя Первомайская, д. 36, стр. 2",Первомайская
Гостиница Минима Аэропорт,7.9/10,3 320,"Москва, ул. Часовая, д. 11",Аэропорт
Business apartments на Ходынском бульваре,9.3/10,5 952,"Москва, Ходынский б-р, д. 2",ЦСКА
Апартаменты Стильная квартира в легендарном Доме на Набережной,10/10,14 000,"Москва, ул. Серафимовича, д. 2",Боровицкая
Апартаменты Гости Любят у метро Новопеределкино. Голубая,9.6/10,4 560,"Москва, ул. Чоботовская, д. 2к1",Новопеределкино
Хостелы Рус - Черкизовская,9.1/10,770,"Москва, ул. Большая Черкизовская, д. 22к7",Измайлово
Мини-отель Buta,9.6/10,3 500,"Москва, ул. Новороссийская, д. 30к1",Люблино
Гостиница Москвич,8.3/10,2 500,"Москва, 11-я ул. Текстильщиков, д. 1",Текстильщики МЦД-2
Апарт-отель Knokey Амбулаторный проезд,9.1/10,3 900,"Москва, 2-й Амбулаторный пр-д, д. 8с1",Красный Балтиец МЦД-2
Loft Hotel P12,9.1/10,3 150,"Москва, Подсосенский пер., д 12с1",Чкаловская
Апартаменты Студия у метро Водный стадион,9.8/10,4 800,"Москва, Кронштадтский б-р., д. 8к1",Водный Стадион
Гостиница Лефортовский мост,8.3/10,4 400,"Москва, ул. 2-я Бауманская, д. 9/23",Бауманская
Гостевой дом Дар,7/10,2 600,"Московская обл., СНТ Дары природы, д. 353",Генерала Тюленева
Хостел Вежливый Лось на Студенческой,8.5/10,950,"Москва, ул. Студенческая, д. 32",Студенческая
от3 000руб.,7.9/10,3 000,"Москва, Комсомольская площадь, д. 5",Комсомольская
Отель АйТи Отель,9.8/10,5 750,"Москва, б-р Чистопрудный, д. 21, п. 2",Чистые Пруды
Отель Room Room,8.5/10,3 500,"Москва, ул. Братеевская, д. 18 к. 5",Алма-Атинская
Бутик-Отель O'Live,9.1/10,3 990,"Москва, Пятницкое ш., д. 35",Пятницкое шоссе
Отель Радио,9.4/10,5 500,"Москва, ул. Радио, д. 14, стр. 1",Бауманская
Отель Винтерфелл На Таганской площади,8.5/10,2 490,"Москва, Известковый пер., д. 5, стр. 2, этаж 2",Марксистская
Отель Брайтон,9.3/10,6 336,"Москва, Петровско-Разумовский пр-д, д. 29",Гражданская МЦД-2
Отель Turris Hotel Tagansky,8.9/10,7 150,"Москва, Серебрянический пер., д. 15",Чкаловская
Гостиница V Hotel,9.6/10,8 880,"Москва, Малый Палашёвский пер., д. 5",Пушкинская
Отель Елоховский Сити,9.3/10,5 400,"Москва, ул. Спартаковская, д. 24, эт. 3",Бауманская
Мини-отель Ван Гог,9.4/10,5 170,"Москва, Большой Казенный пер., д. 10",Курская
AsaPro Апартаменты у Ботанического сада,10/10,5 360,"Москва, ул. Ботаническая, д. 16А",Владыкино
Апартаменты MaxRealty24 ул. Панферова дом 8,10/10,4 057,"Москва, ул. Панфёрова, д. 8",Университет
Отель Hampton by Hilton Moscow Strogino,9.3/10,6 000,"Москва, ул. Кулакова, д. 20",Строгино
Апартаменты LuxKV - Усачева,8.9/10,4 275,"Москва, ул. Усачёва, д. 19, корп. 3",Спортивная
Гостиница Barin Residence Centre,9.3/10,7 700,"Москва, ул. Садовническая, д. 8",Новокузнецкая
Хостел Russland,8.1/10,510,"Москва, ул. Образцова, д. 14/Октябрьский пер., д. 23",Марьина Роща
Отель Афиша Сити,9.1/10,2 948,"Москва, Юрловский пр-д, д. 14, корп. 1",Бибирево
Винтерфелл на Новокузнецкой,9.1/10,2 290,"Москва, Озерковская наб., д. 8с1",Новокузнецкая
Апартаменты BAFY HOME на Херсонской улице,8.1/10,4 300,"Москва, ул. Херсонская, д. 41А",Зюзино
Хостел Рус,9.1/10,2 100,"Москва, Коломенский пр-д, д. 21",Коломенская
Апартаменты Private Apartments на Дмитровском шоссе,8.5/10,4 490,"Москва, ш. Дмитровское, д. 81",Селигерская
Хостел Рус-Парк культуры,8.9/10,"954,80","Москва, ул. Пречистенка, д. 37/2",Парк Культуры
Апартаменты LuxKV - 1-я Тверская-Ямская 10,9.4/10,"5 062,50","Москва, ул. 1-я Тверская-Ямская, д. 10",Маяковская
Бутик-Отель MYS,9.8/10,15 965,"Москва, пер. Кривоколенный, д. 10, с. 4",Чистые Пруды
Гостиница Винтерфелл на Курской,8.7/10,2 190,"Москва, ул. Старая Басманная, д. 7/1",Красные Ворота
Апартаменты LuxKV - Арбат 31,10/10,4 500,"Москва, ул. Арбат, д. 31",Арбатская
Апартаменты Гости Любят у ТЦ Небо,9.6/10,5 040,"Москва, ул. Производственная, д. 4",Солнцево
Хостел Нахимовский,8.7/10,550,"Москва, пр. Нахимовский, д. 7, к.1",Нахимовский Проспект
Апартаменты The Loft Studio Moscow на улице Лавриненко,10/10,3 795,"Москва, ул. Лавриненко, д. 1",Некрасовка
Хостел Hotelhot на Белорусском вокзале,7.6/10,550,"Москва, ул. Лесная, д. 55, стр. 5",Менделеевская
Гостиница Винтерфелл на Тверской,8.7/10,2 690,"Москва, Старопименовский пер., д. 6",Маяковская
Мини-отель Буше на Чистопрудном бульваре,8.9/10,5 000,"Москва, б-р Чистопрудный, д. 21, стр. 1",Чистые Пруды
Хостел Light Dream,9.3/10,"1 138,80","Москва, Большой Златоустинский пер., д. 3/5, стр. 1",Китай-город
Апартаменты ApartLux ул. Расковой 14,10/10,4 000,"Москва, ул. Расковой, д. 14",Динамо
Апартаменты LuxKV - Тверская улица 6,9.8/10,"5 681,70","Москва, ул. Тверская, д. 6с1",Театральная
Апарт-отель URoom ApartHotel на пр. Севастопольский д.3 корп 2,8.9/10,3 960,"Москва, Севастопольский пр-т, д. 3к2",Крымская
Отель Evans,9.1/10,2 500,"Москва, пер. Потаповский, 5с5",Чистые Пруды
Апарт-отель Axis Moscow Heritage,9.8/10,4 790,"Москва, ул. Покровка, д. 10с1",Чистые Пруды
Апартаменты KIGO Spartak,9.8/10,1 450,"Москва, Волоколамское ш., д. 71/22 к1",Спартак
Хостел Город Патриаршие,9.1/10,1 000,"Москва, ул. Спиридоновка, д. 16, стр. 1",Баррикадная
от3 600руб.,9.1/10,3 600,"Москва, ул. Красноармейская, д. 2к1",Петровский парк
Апартаменты Уютная студия возле м. Аминьевская,8.9/10,5 157,"Москва, ул. Большая Очаковская, д. 2",Аминьевская
Апарт-отель Knokey Fresh,9.4/10,4 800,"Москва, б-р Ореховый, д. 24к4",Красногвардейская
Гостиница Елисеефф,8.7/10,4 940,"Москва, Глазовский пер., д. 10, стр. 1",Смоленская
Отель Елоховский,9.4/10,5 900,"Москва, ул. Спартаковская, д. 24, эт. 2",Бауманская
Апартаменты MaxRealty24 Кронштадтский бульвар 6 к 4,9.3/10,4 794,"Москва, Кронштадтский б-р, д. 6к4",Водный Стадион
Апартаменты Уютные апартаменты на Бибиревской,8.9/10,3 402,"Москва, ул. Бибиревская, д. 4а",Бибирево
Хостел Вежливый Лось на Южнобутовской,6.8/10,540,"Москва, ул. Южнобутовская, д. 95а",Бунинская Аллея
Хостел Пара Тапок,8.5/10,850,"Москва, Оружейный пер., д. 13, стр. 2",Маяковская
Отель Винтерфелл На Цветном Бульваре,8.5/10,2 490,"Москва, ул. Садовая-Каретная, д. 24/7",Цветной бульвар
Хостел Звездный бульвар,8.9/10,920,"Москва, ул. Кондратюка, д. 9, корп. 2",Улица Академика Королёва
Апартаменты Квартира Свободна- Комсомольский проспект 27,10/10,"5 119,20","Москва, пр-кт Комсомольский, д. 27с5",Фрунзенская
Апартаменты LikeHome.life - Спартак,9.8/10,4 290,"Москва, ш. Волоколамское, д. 71/22к2",Спартак
Гостиница СРГК ВОС,9.3/10,2 200,"Москва, Югорский пр-д, д. 2",
Апартаменты Новое Измайлово,8.1/10,3 800,"Москва, пр-д Окружной, д. 10б",Измайлово
Апарт-отель Жасмин,9.1/10,4 250,"Москва, пр-д 2-й Кожуховский, д. 25, стр. 7",ЗИЛ
Taganka Hotel Moscow,9.8/10,7 130,"Москва, ул. Николоямская, д. 38/23, стр. 3",Марксистская
Мини-отель Рыбка,8.9/10,3 450,"Москва, Фурманный пер., д. 22, с. 2",Красные Ворота
Мини-отель 13-й квартал,9.8/10,3 500,"Москва, ул. Лавриненко, д. 11к2",Некрасовка
Хостел InterQube Большая полянка,9.4/10,1 045,"Москва, ул. Большая Полянка, д. 61, стр. 2, эт. 1",Добрынинская
Мини-отель Султан-2,8.7/10,3 900,"Москва, пр. Ленинградский, д. 2",Белорусская
Винтерфелл на Кропоткинской,8.5/10,2 190,"Москва, наб. Пречистенская, д. 15, стр. 1",Парк Культуры
Хостел Yum Yum,8.3/10,1 300,"Москва, ул. Бауманская, д. 4",Бауманская
Гостиница Олимп,8.7/10,4 000,"Москва, ул. Доватора, д. 13",Спортивная
Апартаменты Happy House Марьина Роща,8.9/10,3 876,"Москва, ул. Шереметьевская, д. 26",Марьина Роща МЦД-2
Апарт-отель Knokey Автозаводская,9.6/10,6 000,"Москва, ул. Автозаводская, д. 23с120",ЗИЛ
Апартаменты Уютные 1-комнатные апартаменты с мебелью и техникой,10/10,,"Москва, пр-кт Вернадского, д. 41с1",Проспект Вернадского
Отель Апельсин,8.5/10,4 600,"Москва, Страстной б-р, д. 4 стр. 1, этаж 6",Чеховская
Апартаменты Эстетическое Настроение,10/10,6 223,"Москва, ул. Берёзовая аллея, д. 19к1",Ботанический Сад
Хостел Лен ИНН Люкс,7.9/10,550,"Москва, пер. Духовской, д. 22а",Тульская
Мини-отель Хит Отель,8.3/10,4 500,"Москва, ул. Коцюбинского, д. 10",Рабочий Посёлок МЦД-1
Хостел InterQube,9.6/10,1 425,"Москва, Старый Толмачевский пер., д. 3",Новокузнецкая
Апартаменты На Нагатинской набережной,9.4/10,4 499,"Москва, Нагатинская наб., д. 14к4",Коломенская
Апартаменты MaxRealty24 Хорошевское шоссе 12к1,9.3/10,6 350,"Москва, Хорошёвское шоссе, д. 12к1",Беговая
Хостел Dad&Cat,9.6/10,1 300,"Москва, ул. Девятая Рота, д. 16",Преображенская Площадь
Отель Казначейский,10/10,9 085,"Москва, пер. Большой Златоустинский, д.7с1",Китай-город
Хостел Ostanovka Hostel,9.6/10,1 150,"Москва, ул. Дыбенко, д. 38к1",Ховрино
Апартаменты 2-х уровневые м. Нагорная,10/10,7 425,"Москва, Электролитный пр-д., д. 5б",Нагорная
