Name,Rate,active_price,address,metro
Гостиница DoubleTree by Hilton Moscow-Marina,9.1/10,11 800,"Москва, Ленинградское ш., д. 39, стр 1",Водный Стадион
Мини-отель Чистопрудный,9.3/10,4 400,"Москва, ул. Чаплыгина, д. 6",Чистые Пруды
Мини-отель На Цветном Бульваре,8.7/10,1 490,"Москва, ул. Садовая-Каретная, д. 20с1",Цветной бульвар
Отель Mercure Арбат Москва,9.3/10,8 500,"Москва, пл. Смоленская, д. 6",Смоленская
Хостел Shelterz Три Вокзала,9.1/10,1 050,"Москва, ул. Каланчёвская, д. 6/2с2",Красные Ворота
Бутик-Отель Vertical Boutique Таганская,8.9/10,5 635,"Москва, ул. Малые Каменщики, д. 16",Таганская
Business apartments,9.3/10,"5 803,20","Москва, Ходынский б-р, д. 20А",ЦСКА
ГородОтель на Киевском,8.3/10,2 700,"Москва, пл. Киевского вокзала, д. 1",Киевская
Axel Hostel,9.3/10,"757,50","Москва, ул. Садовническая, д. 78с7",Павелецкая
Отель Гестен,9.3/10,3 744,"Москва, наб. Садовническая, д. 17",Новокузнецкая
Апарт-отель Улитка,9.6/10,1 000,"Москва, пер. 3-й Михалковский, д. 15к3",Коптево
П17 Отель,9.8/10,7 920,"Москва, ул. Петровка, д. 17с1",Трубная
Мини-отель Академик,9.3/10,3 750,"Москва, ул. Новочеремушкинская, д. 13",Академическая
Апарт-отель Raido.Moscow Big City,9.4/10,3 750,"Москва, Хорошёвское ш., д. 38с2",Беговая
Отель Сенатор,7.8/10,5 250,"Москва, ул. Кржижановского, д. 5к1",Профсоюзная
Гостиница Сокол,8.9/10,3 650,"Москва, Чапаевский пер., д. 12, 9 км трассы М10",Сокол
Гостевой дом Добрынинский,9.1/10,1 390,"Москва, ул. Люсиновская, д. 11/12с1",Добрынинская
Гостиница Билибин Гарден,9.1/10,6 050,"Москва, ул. Садовническая, д. 5",Новокузнецкая
Отель Фили Хаус,9.3/10,5 000,"Москва, ул. Тучковская, д. 11, корп. 2",Фили МЦД-1
Гостиница Старый город Home Hotel,9.3/10,6 500,"Москва, ул. Большая Дмитровка, д. 8/5",Театральная
Отель Максима Ирбис,9.1/10,3 230,"Москва, ул. Гостиничная, д. 1",Петровско-Разумовская
Апарт-отель YE'S Botanica,9.4/10,5 500,"Москва, ул. 1-я Леонова, д. 18",Ботанический Сад
Отель Академическая,8.9/10,3 900,"Москва, ул. Донская, д. 1",Октябрьская
Отель Лофт на Крымской,9.1/10,3 240,"Москва, Севастопольский пр-кт, д. 7к7",Верхние Котлы
Гостиница Подъезд № 2,9.1/10,3 000,"Москва, ул. Воронцовская, д. 21, стр. 1",Таганская
Гостиница Select Hotel Paveletskaya,9.4/10,5 500,"Москва, Стремянный пер., д. 11",Павелецкая
Гостиница Panorama City Federation,8.1/10,14 707,"Москва, Пресненская набережная, д. 12, 53 этаж",Международная
Апарт-отель Discovery,9.3/10,4 900,"Москва, Волоколамское ш., д. 71/22к3",Спартак
Отель Волынское,9.3/10,13 000,"Москва, ул. Староволынская, д. 9",Минская
Гостиница Звездная,8.3/10,4 350,"Москва, ул. Аргуновская, д. 2, кор. 1",Улица Академика Королёва
Гостиница РСВО,8.9/10,3 500,"Москва, Старокаширское ш., д. 2, корп. 10",Варшавская
Отель 17/3 Capsule hotel and lounge,9.4/10,1 450,"Москва, ул. Петровка, д. 17, с. 3",Чеховская
Отель Лафаетт,8.5/10,"3 391,50","Москва, ул. Тверская, д. 12/9",Тверская
Гостиница Царицынский комплекс,8.9/10,2 500,"Москва, ул. Каспийская, д. 36",Царицыно МЦД-2
Отель Пальмира Бизнес Клуб,9.6/10,8 920,"Москва, Новоданиловская наб., д. 6, к. 2",Верхние Котлы
Отель Good Point,8.1/10,2 000,"Москва, пер. Переведеновский, д. 2с1",Бауманская
Отель Skyada,8.9/10,6 438,"Москва, ул. Мосфильмовская, д. 55",Раменки
Бутик-Отель Регул,9.6/10,6 890,"Москва, пер. Дегтярный, д. 8, стр. 2",Пушкинская
Отель Электрон,8.7/10,2 700,"Москва, пр. Андропова, д. 38к2, 11 км трассы М-6 (Р22)",Коломенская
Гостиница Ариум,9.3/10,7 100,"Москва, ул. Малая Дмитровка, д. 25/3",Маяковская
Гостиница Riverside,8.7/10,5 000,"Москва, пр. Кутузовский, д. 2/1, корп. 1б",Киевская
Хостел Авиатор у Трех вокзалов,8.3/10,800,"Москва, ул. Ольховская, д. 14, стр. 5",Красносельская
Гостиница Погости.ру на Славянском бульваре,8.9/10,6 000,"Москва, ул. Кременчугская, д. 9",Давыдково
Апарт-отель Knokey Хорошёвская,8.9/10,4 350,"Москва, ул. 1-я Магистральная, д. 25",Полежаевская
Отель Минима Белорусская,8.7/10,3 850,"Москва, ул. Лесная, д. 20, стр. 2",Менделеевская
Мини-отель The 7 Dreams,8.7/10,5 100,"Москва, 3-й Перова Поля пр-д, д. 8",Перово
Гостиница Наследие,8.5/10,2 200,"Москва, ул. Космонавтов, д. 2",ВДНХ
Хостелы Круассан,8.9/10,1 100,"Москва, наб. Космодамианская, д. 40-42, стр. 3",Таганская
Отель Maslov Hotel,9.4/10,2 808,"Москва, ул. Мироновская, д. 38",Измайлово
Отель Концерт на Таганской,8.9/10,"2 626,50","Москва, Тетеринский пер., д. 12с4",Марксистская
Отель ГородОтель на Ленинградском,8.7/10,6 600,"Москва, пл. Комсомольская, д. 3",Комсомольская
Гостиница на Цветном,8.9/10,4 185,"Москва, б-р Цветной, д. 25, стр. 7",Цветной бульвар
Отель Премьера,8.9/10,2 900,"Москва, ул. 7-ая Парковая, д. 33к6",Щелковская
Гостиница Измайлово Дельта Sky Hotel Group,8.9/10,4 200,"Москва, Измайловское ш., д. 71, корп. 4г",Партизанская
Гостиница Металлург,8.3/10,2 925,"Москва, пер. Октябрьский, д.12",Достоевская
Отель Заречье,8.9/10,4 000,"Москва, ул. Люсиновская, д. 62",Шаболовская
Мини-отель Клюква,8.7/10,4 650,"Москва, ул. Долгоруковская, д. 40",Новослободская
Гостиница N-House,8.9/10,5 200,"Москва, ул. Пятницкая, д. 2/38 стр.3",Новокузнецкая
Гостиница Веллион Павелецкая,9.3/10,3 650,"Москва, ул. Бахрушина, д. 21/4",Павелецкая
Гостиница ВАЛС,8.9/10,2 373,"Москва, ул. Дубининская, д. 35",Павелецкая
Отель ApeironSpace,9.8/10,11 385,"Москва, Раушская набережная, д. 4/5с1",Новокузнецкая
Апарт-отель Точка,9.4/10,5 800,"Москва, Спартаковская пл., д. 16/15, c. 1",Бауманская
Отель На Бауманской,7.2/10,2 200,"Москва, ул. Фридриха Энгельса, д. 31/35",Бауманская
Отель Плаза,9.3/10,4 900,"Москва, ул. Лухмановская, д. 37",
Отель Norke Prime Сретенская,9.3/10,4 400,"Москва, ул. Сретенка, д. 36",Сухаревская
Д-отель на Тверской,8.9/10,6 844,"Москва, ул. Тверская, д. 5/6",Охотный Ряд
Ахоум-отель на Окружной,8.9/10,2 220,"Москва, Дмитровское ш., д. 46, корп. 2",Окружная МЦД-1
Апартаменты ЖК Сити Микс,9.1/10,3 362,"Москва, ш. Востряковское, д. 7с2",Озёрная
Отель Малетон (Анохина),9.1/10,6 400,"Москва, ул. Академика Анохина, д. 11А",Юго-западная
Апарт-отель Волга,9.3/10,6 200,"Москва, ул. Большая Спасская, д. 4",Сухаревская
